title,release_date,release_year,popularity,vote_count,vote_average,names_actors,name_director,budget,revenue,return
Double Impact,1991-07-31,1991,6.600651,219.0,5.3,"['Jean-Claude Van Damme', 'Geoffrey Lewis', 'Alonna Shaw', 'Cory Everson', 'Philip Chan Yan-Kin', 'Alan Scarfe', 'Bolo Yeung', 'Andy Armstrong', 'Julie Strain', 'Evan Lurie', 'Alicia Stevenson', 'Paul Aylett', 'Peter Malota']",Sheldon Lettich,15000000.0,30102717.0,2.0068478
Meet the Feebles,1989-08-12,1989,3.336298,68.0,6.4,"['Donna Akersten', 'Stuart Devenie', 'Mark Hadlow', 'Brian Sergent', 'Ross Jolly', 'Peter Vere-Jones', 'Mark Wright', 'Danny Mulheron', 'Jay Snowfield', 'Doug Wren', 'Peter Jackson']",Peter Jackson,750000.0,0.0,0.0
Princess Kaiulani,2010-05-14,2010,1.818296,14.0,4.8,"[""Q'orianka Kilcher"", 'Barry Pepper', 'Will Patton', 'Jimmy Yuill', 'Shaun Evans']",Marc Forby,9000000.0,771499.0,0.08572211111111111
90 Minutes in Heaven,2015-09-11,2015,4.222496,40.0,5.4,"['Kate Bosworth', 'Hayden Christensen', 'Hudson Meek', 'Bobby Batson', 'Elizabeth Hunter', 'David Clyde Carr', 'Catherine Carlen', 'Dwight Yoakam', 'Michael W. Smith', 'Gianna Simone', 'Michael Harding', 'Rhoda Griffis', 'Mark Oliver', 'Michael Crider', 'Marty Stonerock', 'Cara Mantella']",Michael Polish,5000000.0,4842699.0,0.9685398
"Dude, Where’s My Car?",2000-12-15,2000,10.890236,523.0,5.3,"['Ashton Kutcher', 'Seann William Scott', 'Kristy Swanson', 'Jennifer Garner', 'Marla Sokoloff', 'David Herman', 'Hal Sparks', ""Charlie O'Connell"", 'John Toles-Bey', 'Christian Middelthon', 'Dave Bannick', 'Turtle', 'Bob Clendenin', 'Mary Lynn Rajskub', 'Kevin Christy']",Danny Leiner,13000000.0,73180723.0,5.629286384615384
Our Idiot Brother,2011-08-26,2011,5.918193,369.0,5.9,"['Paul Rudd', 'Elizabeth Banks', 'Zooey Deschanel', 'Emily Mortimer', 'Adam Scott', 'Kathryn Hahn', 'Hugh Dancy', 'Steve Coogan', 'Rashida Jones', 'T.J. Miller', 'Shirley Knight', 'Janet Montgomery', 'Sterling K. Brown', 'Bob Stephenson', 'Peter Hermann', 'Francesca Papalia', 'Matthew Mindler', 'Lydia Haug', 'Wrenn Schmidt', 'Kathy Fitzgerald', 'Marceline Hugot', 'Alexia Rasmussen', 'Lucas Near-Verbrugghe', 'Polly Draper', 'Neal Lerner', 'Katie Aselton']",Jesse Peretz,10000000.0,17273593.0,1.7273593
Rocky III,1982-05-28,1982,11.673366,894.0,6.6,"['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers', 'Burgess Meredith', 'Tony Burton', 'Mr. T', 'Hulk Hogan', 'Ian Fried', 'Al Silvani', 'Wally Taylor', 'Jim Hill', 'Don Sherman', 'Dennis James', 'Jim Healy']",Sylvester Stallone,17000000.0,270000000.0,15.882352941176471
Gods and Monsters,1998-01-21,1998,6.788021,82.0,6.8,"['Ian McKellen', 'Brendan Fraser', 'Lynn Redgrave', 'Lolita Davidovich', 'David Dukes', 'Mark Kiely', 'Jack Plotnick', 'Rosalind Ayres', 'Jack Betts', 'Matt McKenzie', ""Kevin J. O'Connor""]",Bill Condon,10000000.0,6451628.0,0.6451628
The Kingdom,2007-08-22,2007,13.842333,517.0,6.5,"['Jamie Foxx', 'Jennifer Garner', 'Chris Cooper', 'Jason Bateman', 'Ali Suliman', 'Jeremy Piven', 'Ashraf Barhom', 'Richard Jenkins', 'Tim McGraw', 'Kyle Chandler', 'Frances Fisher', 'Danny Huston', 'Kelly AuCoin', 'Anna Deavere Smith', 'Minka Kelly', 'Amy Hunter', 'Tj Burnett', 'Omar Berdouni', 'Raad Rawi']",Peter Berg,70000000.0,86658558.0,1.2379794
Ruby & Quentin,2003-10-22,2003,9.306171,183.0,6.7,"['Gérard Depardieu', 'Jean Reno', 'Richard Berry', 'Leonor Varela', 'Loïc Brabant', 'Michel Aumont', 'André Dussollier', 'Edgar Givry', 'Jean-Pierre Malo', 'Jean-Michel Noirey', 'Laurent Gamelon', 'Aurélien Recoing', 'Vincent Moscato', 'Ticky Holgado']",Francis Veber,27440000.0,0.0,0.0
Return to the Blue Lagoon,1991-08-02,1991,8.929393,156.0,5.2,"['Milla Jovovich', 'Brian Krause', 'Lisa Pelikan', 'Courtney Barilla', 'Garette Ratliff Henson', 'Brian Blain', 'Emma James', 'Jackson Barton', 'Nana Coburn', 'Peter Hehir', 'Alexander Petersons', 'John Mann', 'Wayne Pygram', 'John Dicks', 'Gus Mercurio']",William A. Graham,11000000.0,2807854.0,0.25525945454545457
Proof of Life,2000-12-08,2000,9.508691,211.0,6.1,"['Meg Ryan', 'Russell Crowe', 'David Morse', 'Pamela Reed', 'David Caruso', 'Flora Martínez', 'Anthony Heald', 'Gottfried John', 'Tony Vázquez']",Taylor Hackford,65000000.0,0.0,0.0
Super Size Me,2004-01-17,2004,5.266103,520.0,6.6,"['Morgan Spurlock', 'Daryl Isaacs', 'Lisa Ganjhu', 'Stephen Siegel', 'Bridget Bennett', 'Eric Rowley', 'Mark Fenton', 'Alexandra Jamieson', 'John Banzhaf', 'David Satcher', 'Lisa Young', 'Kelly Brownell', 'Jacob Sullum', 'Tommy Thompson', 'William J. Klish']",Morgan Spurlock,65000.0,28575078.0,439.6165846153846
